query_id,strict_all_score
2024-105741,0.5833333333333334
2024-105741,0.5
2024-105741,0.4166666666666667
2024-105741,0.5833333333333334
2024-105741,0.4166666666666667
2024-105741,0.5833333333333334
2024-105741,0.5833333333333334
2024-105741,0.4166666666666667
2024-105741,0.4166666666666667
2024-105741,0.5
2024-105741,0.5
2024-105741,0.5833333333333334
2024-105741,0.6666666666666666
2024-105741,0.5
2024-105741,0.5833333333333334
2024-105741,0.5833333333333334
2024-105741,0.5833333333333334
2024-105741,0.5833333333333334
2024-105741,0.5
2024-105741,0.5
2024-105741,0.4166666666666667
2024-105741,0.5
2024-105741,0.5
2024-105741,0.4166666666666667
2024-105741,0.5
2024-105741,0.4166666666666667
2024-105741,0.5
2024-105741,0.4166666666666667
2024-105741,0.5833333333333334
2024-105741,0.4166666666666667
2024-105741,0.5833333333333334
2024-105741,0.6666666666666666
2024-105741,0.5
2024-105741,0.4166666666666667
2024-105741,0.5833333333333334
2024-105741,0.5833333333333334
2024-105741,0.5833333333333334
2024-105741,0.5833333333333334
2024-105741,0.4166666666666667
2024-105741,0.4166666666666667
2024-105741,0.5
2024-105741,0.5
2024-105741,0.4166666666666667
2024-105741,0.5833333333333334
2024-105741,0.5
2024-105741,0.5
2024-105741,0.5
2024-105741,0.5833333333333334
2024-105741,0.6666666666666666
2024-109837,0.5833333333333334
2024-109837,0.16666666666666666
2024-109837,0.16666666666666666
2024-109837,0.16666666666666666
2024-109837,0.16666666666666666
2024-109837,0.5
2024-109837,0.3333333333333333
2024-109837,0.3333333333333333
2024-109837,0.5
2024-109837,0.16666666666666666
2024-109837,0.5833333333333334
2024-109837,0.16666666666666666
2024-109837,0.16666666666666666
2024-109837,0.4166666666666667
2024-109837,0.3333333333333333
2024-109837,0.5
2024-109837,0.16666666666666666
2024-109837,0.5
2024-109837,0.5833333333333334
2024-109837,0.5833333333333334
2024-109837,0.3333333333333333
2024-109837,0.5
2024-109837,0.25
2024-109837,0.4166666666666667
2024-109837,0.25
2024-109837,0.16666666666666666
2024-109837,0.16666666666666666
2024-109837,0.16666666666666666
2024-109837,0.3333333333333333
2024-109837,0.25
2024-109837,0.16666666666666666
2024-109837,0.16666666666666666
2024-109837,0.16666666666666666
2024-109837,0.3333333333333333
2024-109837,0.16666666666666666
2024-109837,0.4166666666666667
2024-109837,0.16666666666666666
2024-109837,0.25
2024-109837,0.16666666666666666
2024-109837,0.16666666666666666
2024-109837,0.4166666666666667
2024-109837,0.16666666666666666
2024-109837,0.4166666666666667
2024-109837,0.3333333333333333
2024-109837,0.4166666666666667
2024-109837,0.3333333333333333
2024-109837,0.25
2024-109837,0.4166666666666667
2024-109837,0.4166666666666667
2024-111331,0.07692307692307693
2024-111331,0.3076923076923077
2024-111331,0.3076923076923077
2024-111331,0.07692307692307693
2024-111331,0.07692307692307693
2024-111331,0.07692307692307693
2024-111331,0.07692307692307693
2024-111331,0.23076923076923078
2024-111331,0.38461538461538464
2024-111331,0.07692307692307693
2024-111331,0.3076923076923077
2024-111331,0.3076923076923077
2024-111331,0.23076923076923078
2024-111331,0.07692307692307693
2024-111331,0.23076923076923078
2024-111331,0.15384615384615385
2024-111331,0.07692307692307693
2024-111331,0.3076923076923077
2024-111331,0.3076923076923077
2024-111331,0.07692307692307693
2024-111331,0.23076923076923078
2024-111331,0.07692307692307693
2024-111331,0.07692307692307693
2024-111331,0.07692307692307693
2024-111331,0.38461538461538464
2024-111331,0.15384615384615385
2024-111331,0.3076923076923077
2024-111331,0.07692307692307693
2024-111331,0.3076923076923077
2024-111331,0.07692307692307693
2024-111331,0.38461538461538464
2024-111331,0.15384615384615385
2024-111331,0.15384615384615385
2024-111331,0.07692307692307693
2024-111331,0.38461538461538464
2024-111331,0.3076923076923077
2024-111331,0.38461538461538464
2024-111331,0.07692307692307693
2024-111331,0.07692307692307693
2024-111331,0.07692307692307693
2024-111331,0.15384615384615385
2024-111331,0.15384615384615385
2024-111331,0.3076923076923077
2024-111331,0.3076923076923077
2024-111331,0.07692307692307693
2024-111331,0.07692307692307693
2024-111331,0.07692307692307693
2024-111331,0.07692307692307693
2024-111331,0.23076923076923078
2024-111506,0.5833333333333334
2024-111506,0.6666666666666666
2024-111506,0.5
2024-111506,0.75
2024-111506,0.5
2024-111506,0.5
2024-111506,0.3333333333333333
2024-111506,0.5833333333333334
2024-111506,0.4166666666666667
2024-111506,0.4166666666666667
2024-111506,0.5833333333333334
2024-111506,0.5833333333333334
2024-111506,0.3333333333333333
2024-111506,0.5833333333333334
2024-111506,0.5
2024-111506,0.5833333333333334
2024-111506,0.5833333333333334
2024-111506,0.5833333333333334
2024-111506,0.5
2024-111506,0.5833333333333334
2024-111506,0.5833333333333334
2024-111506,0.5
2024-111506,0.5
2024-111506,0.5833333333333334
2024-111506,0.5833333333333334
2024-111506,0.5833333333333334
2024-111506,0.5833333333333334
2024-111506,0.75
2024-111506,0.5
2024-111506,0.5
2024-111506,0.5833333333333334
2024-111506,0.3333333333333333
2024-111506,0.6666666666666666
2024-111506,0.6666666666666666
2024-111506,0.6666666666666666
2024-111506,0.5833333333333334
2024-111506,0.5833333333333334
2024-111506,0.5
2024-111506,0.3333333333333333
2024-111506,0.5833333333333334
2024-111506,0.5
2024-111506,0.5
2024-111506,0.5
2024-111506,0.5
2024-111506,0.5
2024-111506,0.5833333333333334
2024-111506,0.5
2024-111506,0.5
2024-111506,0.5833333333333334
2024-113215,0.5
2024-113215,0.5
2024-113215,0.5833333333333334
2024-113215,0.4166666666666667
2024-113215,0.25
2024-113215,0.5
2024-113215,0.4166666666666667
2024-113215,0.4166666666666667
2024-113215,0.4166666666666667
2024-113215,0.5
2024-113215,0.4166666666666667
2024-113215,0.4166666666666667
2024-113215,0.25
2024-113215,0.5
2024-113215,0.25
2024-113215,0.3333333333333333
2024-113215,0.5833333333333334
2024-113215,0.4166666666666667
